,Account,avg(Kwh),avg(Power_Factor),avg(KVRAh),Catergroy,Building,Day,Month,Year,TemperatureF,PointF,Humidity,PressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,workingDay,Holiday
1,27369330017,125.3335389,0.804315052,49.02305093,SCH,LILLA FREDRICK,1,1,2014,24,5,43,30.33,10,9,0,3,,296,1,1
2,27369330017,156.3333141,0.792566622,76.69085719,SCH,LILLA FREDRICK,2,1,2014,14,11,69,30.14,1,18,0.38,8,Fog-Snow,11,1,0
3,27369330017,158.5564886,0.844600507,65.82310105,SCH,LILLA FREDRICK,3,1,2014,8,-4,66,29.99,5,17,0.19,4,Fog-Snow,337,1,0
4,27369330017,156.8888292,0.847359941,64.34265864,SCH,LILLA FREDRICK,4,1,2014,15,1,50,30.38,10,12,0,2,,228,0,0
5,27369330017,160.4115936,0.857196996,66.08422715,SCH,LILLA FREDRICK,5,1,2014,31,26,74,30.19,8,8,0.04,6,Fog-Rain,148,0,0
6,27369330017,167.8952078,0.850003363,69.37081015,SCH,LILLA FREDRICK,6,1,2014,43,42,77,29.5,5,14,0.32,8,Fog-Rain,204,1,0
7,27369330017,164.4176144,0.815694015,70.80691217,SCH,LILLA FREDRICK,7,1,2014,19,-6,41,29.93,10,20,T,2,,272,1,0
8,27369330017,173.4958343,0.817216692,69.50893067,SCH,LILLA FREDRICK,8,1,2014,15,-3,48,30.39,10,13,0,1,,259,1,0
9,27369330017,172.1528957,0.812965898,72.4526795,SCH,LILLA FREDRICK,9,1,2014,25,5,49,30.56,10,9,0,2,,256,1,0
10,27369330017,168.1696947,0.82695715,72.74336459,SCH,LILLA FREDRICK,10,1,2014,28,25,80,30.44,5,5,0.02,8,Fog-Snow,179,1,0
11,27369330017,122.9750435,0.800901848,50.43018218,SCH,LILLA FREDRICK,11,1,2014,47,46,93,29.79,3,12,0.54,8,Fog-Rain-Thunderstorm,176,0,0
