"","Account","avg(Kwh)","avg(Power_Factor)","avg(KVRAh)","Catergroy","Building","Day","Month","Year","Humidity"
"1",26437521003,131.548380640972,0.826663837475422,64.9498933381945,"SCH","W H OHRENBERGER",27,3,2014,27
"2",26440101009,134.255713756616,0.854746532108444,63.4455541471099,"PWD","BLDG",3,11,2014,32
"3",26437521003,114.174068132671,0.793577202714285,57.5585197566514,"SCH","W H OHRENBERGER",9,3,2014,35
"4",26437521003,108.309671094676,0.804752600411218,55.4346936021134,"SCH","W H OHRENBERGER",7,5,2014,37
"5",26440101009,117.876464179177,0.811024257151402,57.9864200901696,"PWD","BLDG",30,12,2014,38
"6",26437521003,134.159956553819,0.842314972366831,64.3366242756945,"SCH","W H OHRENBERGER",26,3,2014,39
"7",26437521003,104.158638195139,0.78444665048305,53.0137262215277,"SCH","W H OHRENBERGER",1,3,2014,40
"8",26440101009,122.769500483139,0.81218803870304,59.94233828439,"PWD","BLDG",22,11,2014,41
"9",26440101009,110.072670048533,0.789988958510211,55.4708997259078,"PWD","BLDG",21,11,2014,42
"10",26437521003,122.546251559109,0.815109920149681,61.599244915147,"SCH","W H OHRENBERGER",12,5,2014,43
"11",26440101009,127.092817217967,0.825651121667663,62.3845564822426,"PWD","BLDG",31,12,2014,44
"12",26437521003,128.406355289712,0.832348733518299,64.4333359073689,"SCH","W H OHRENBERGER",19,6,2014,45
"13",26440101009,119.996200667308,0.826135432664085,59.2751364821678,"PWD","BLDG",9,10,2014,46
"14",26440101009,134.297745213333,0.806551682826255,65.6217996266666,"PWD","BLDG",20,11,2014,47
"15",26440101009,127.77700026171,0.868820820990194,61.8733570391779,"PWD","BLDG",10,10,2014,48
"16",26440101009,113.759797131238,0.827919169363318,56.8732511566544,"PWD","BLDG",15,11,2014,49
"17",26437521003,118.191036987875,0.820739015891574,61.8088434475753,"SCH","W H OHRENBERGER",21,6,2014,50
"18",26440101009,123.08550569502,0.832468651698252,57.8035670831581,"PWD","BLDG",29,12,2014,51
"19",26440101009,109.063866436551,0.815587376548943,54.1261921834542,"PWD","BLDG",20,10,2014,52
"20",26440101009,126.561066615353,0.824317709469238,63.4130860423383,"PWD","BLDG",4,11,2014,53
"21",26440101009,119.536206723961,0.825879449413624,59.1369556855996,"PWD","BLDG",4,12,2014,54
"22",26440101009,124.769726460344,0.826539288123528,62.1250284315534,"PWD","BLDG",29,11,2014,55
"23",26440101009,117.07364071114,0.808691415972515,60.2880483879923,"PWD","BLDG",5,11,2014,56
"24",26440101009,98.3669980223077,0.803957880119527,49.0879810885307,"PWD","BLDG",16,11,2014,57
"25",26440101009,134.50416837156,0.839654660415036,68.2837486402665,"PWD","BLDG",4,9,2014,58
"26",26440101009,125.446771594065,0.826551091850573,62.5800088408518,"PWD","BLDG",23,11,2014,59
"27",26440101009,124.880603037135,0.820735489864671,61.0111221626012,"PWD","BLDG",27,12,2014,60
"28",26440101009,110.497326748283,0.818754689985677,54.7633018292651,"PWD","BLDG",7,12,2014,61
"29",26440101009,132.677260556669,0.833278976860893,64.5236890254562,"PWD","BLDG",13,11,2014,62
"30",26440101009,140.405505834588,0.834801464884966,68.9986337832048,"PWD","BLDG",19,12,2014,63
"31",26440101009,141.757061361656,0.843890711510722,71.3384676859282,"PWD","BLDG",25,8,2014,64
"32",26440101009,130.462236372274,0.832291445243798,64.1089242199844,"PWD","BLDG",28,12,2014,65
"33",26440101009,129.595306545697,0.828549815932619,62.6494489668293,"PWD","BLDG",5,12,2014,66
"34",26440101009,120.141649640936,0.818977652978765,61.0522878754982,"PWD","BLDG",14,11,2014,67
"35",26440101009,106.33385834207,0.809271833420904,54.5793397526083,"PWD","BLDG",14,12,2014,68
"36",26440101009,137.289728526008,0.840261332736064,66.8518687719855,"PWD","BLDG",13,10,2014,69
"37",26440101009,136.541520873597,0.832142348691525,65.0387245897867,"PWD","BLDG",8,12,2014,70
"38",26440101009,131.408960161137,0.828524466527439,65.9530190122495,"PWD","BLDG",26,11,2014,71
"39",26440101009,133.868422942537,0.828623520980632,64.0010591357496,"PWD","BLDG",2,12,2014,72
"40",26440101009,130.101578152717,0.817737418724442,64.090624887324,"PWD","BLDG",18,12,2014,73
"41",26440101009,137.884652491711,0.847334218324398,66.1671673131499,"PWD","BLDG",15,10,2014,74
"42",26440101009,118.701213180759,0.824205370313673,57.7288560312082,"PWD","BLDG",25,12,2014,75
"43",26440101009,127.864651201016,0.848055074781688,63.4862980118193,"PWD","BLDG",17,10,2014,76
"44",26440101009,114.287073365357,0.8133682631546,58.5136720408525,"PWD","BLDG",21,12,2014,77
"45",26440101009,128.520147830058,0.822309737691673,63.0070553953364,"PWD","BLDG",22,12,2014,79
"46",26440101009,123.798638240175,0.830962951636442,61.6409937164376,"PWD","BLDG",11,11,2014,80
"47",26440101009,142.646500739434,0.840997221218701,70.9982654696824,"PWD","BLDG",27,11,2014,81
"48",26440101009,135.895122914076,0.833815962097949,67.5523962715676,"PWD","BLDG",10,9,2014,82
"49",26440101009,126.269332380721,0.829997939249863,62.1414236097934,"PWD","BLDG",17,11,2014,83
"50",26440101009,162.579236767361,0.854850890115544,81.6691631687498,"PWD","BLDG",21,7,2014,84
"51",26440101009,133.314952663399,0.836806217848827,63.9383649685805,"PWD","BLDG",17,12,2014,85
"52",26440101009,128.481894738382,0.839847379146461,63.0908239308798,"PWD","BLDG",28,10,2014,86
"53",26440101009,112.519701601257,0.833639934417599,56.4245226623603,"PWD","BLDG",11,12,2014,87
"54",26440101009,131.827759625439,0.816500957663386,64.0977916760365,"PWD","BLDG",24,11,2014,88
"55",26440101009,126.779176389906,0.834311456177255,63.5748184694535,"PWD","BLDG",3,10,2014,89
"56",26437521003,125.567993168504,0.832293020114755,64.4138187115783,"SCH","W H OHRENBERGER",22,5,2014,90
"57",26440101009,125.244921772855,0.815708580065728,62.1669353756997,"PWD","BLDG",23,12,2014,91
"58",26440101009,138.53795021733,0.880785715054496,64.411183577316,"PWD","BLDG",2,10,2014,92
"59",26440101009,116.297101580596,0.806614369517325,57.6758464835758,"PWD","BLDG",9,12,2014,93
"60",26440101009,149.837239914286,0.877873438282873,68.3703220007144,"PWD","BLDG",16,10,2014,94
"61",26440101009,134.146691433132,0.854680993740753,61.4311595129478,"PWD","BLDG",10,12,2014,95
"62",26440101009,130.882328057465,0.88814628376345,59.1754275796634,"PWD","BLDG",23,10,2014,97
"63",26440101009,104.727990360253,0.780705297488438,50.9909057085673,"PWD","BLDG",24,12,2014,98
