,Account,Kwh,Power_Factor,KVRAH,Catergroy,Date,Building,Day,Month,Year,Date00,TemperatureF,Min.TemperatureF,Max.Dew.PointF,MeanDew.PointF,Min.DewpointF,Max.Humidity,Humidity,Min.Humidity,Max.Sea.Level.PressureIn,Mean.Sea.Level.PressureIn,Min.Sea.Level.PressureIn,Max.VisibilityMiles,Mean.VisibilityMiles,Min.VisibilityMiles,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,Max.Gust.SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,workingDay,Holiday
1,26436731017,702.7,0.270236292,1252.03,SCH,1/1/14,AGASSIZ,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
2,26441521007,2338.312587,0.885519778,1323.81,SCH,1/1/14,ArtsJan,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
3,26441591000,982.944,0.81730249,690.588,SCH,1/1/14,BOSTON LATIN ANNX,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
5,26432071004,3721.97993,0.916311184,1632.69,SCH,1/1/14,COURT ST,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
6,26440191000,882,0.912351826,404.07,SCH,1/1/14,DEVER,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
7,26436491000,122.528,0.551475622,166.652,SCH,1/1/14,DORCHESTER HIGH,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
8,26435881003,562.89,0.761698504,478.875,SCH,1/1/14,EEC,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
9,26439621009,589.935,0.761052677,502.77,SCH,1/1/14,EECEASTBOSTON,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
10,26812030018,497.052,0.95061441,168.381,BPL,1/1/14,HARVARD ST,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
11,26807740019,3054.96,0.927759182,1052.982,BPD,1/1/14,HEADQUARTERS,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
12,26432771009,691.911,0.960059507,182.313,BPL,1/1/14,HYDE PARK2014,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
13,27369330017,2057.879995,0.848308878,1277.4,SCH,1/1/14,LILLA FREDRICK,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
14,26432141005,30976.64932,0.966076462,8144.669806,PROP,1/1/14,MGMT,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
15,27104610012,119.412,0.69317925,60.954,SCH,1/1/14,MURPHY,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
16,26437461002,1661.33999,0.523650649,2663.219973,SCH,1/1/14,WEST ROXBURY,1,1,2014,1/1/14,24,19,7,5,3,52,43,34,30.4,30.33,30.2,10,10,10,22,9,29,0,3,,296,1,1
17,26436731017,426.92,0.159191521,2047.239969,SCH,1/2/14,AGASSIZ,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
18,26441521007,3098.767612,0.856392851,1864.800003,SCH,1/2/14,ArtsJan,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
19,26441591000,1653.776996,0.780657726,1365.291,SCH,1/2/14,BOSTON LATIN ANNX,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
20,26430841010,1535.265009,0.585061847,2645.010123,SCH,1/2/14,Blackstone Jan,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
21,26432071004,5471.609868,0.948807851,1764.959994,SCH,1/2/14,COURT ST,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
22,26440191000,1317.63,0.903970663,621.15,SCH,1/2/14,DEVER,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
23,26436491000,146.572,0.562095035,196.264,SCH,1/2/14,DORCHESTER HIGH,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
24,26435881003,904.59,0.757400066,785.985,SCH,1/2/14,EEC,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
25,26439621009,834.33,0.74587358,756.105,SCH,1/2/14,EECEASTBOSTON,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
26,26812030018,570.789,0.961649545,163.458,BPL,1/2/14,HARVARD ST,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
27,26807740019,3402.40052,0.93176705,1084.266,BPD,1/2/14,HEADQUARTERS,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
28,26432771009,765.954,0.96541901,187.461,BPL,1/2/14,HYDE PARK2014,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
29,27369330017,3365.249944,0.836222941,2268.059977,SCH,1/2/14,LILLA FREDRICK,2,1,2014,1/2/14,14,2,21,11,-3,88,69,50,30.36,30.14,29.86,4,1,0,32,18,38,0.38,8,Fog-Snow,11,1,0
